10.3847/0004-637X/818/1/47	 Saglia, Opitsch, Erwin, Thomas, Beifiori, Fabricius, Mazzalay, Nowak, Rusli, and Bender	 The SINFONI Black Hole Survey: The Black Hole Fundamental Plane Revisited and the Paths of (Co)evolution of Supermassive Black Holes and Bulges	 2016	 The Astrophysical Journal	 ARTICLE	 10 

10.1051/0004-6361/201424216	 Aleksi&cacute;, Ansoldi, Antonelli, Antoranz, Babic, Bangale, Barres de Almeida, Barrio, Becerra Gonz&aacute;lez, Bednarek, Berger, Bernardini, Biland, Blanch, Bock, Bonnefoy, Bonnoli, Borracci, Bretz, Carmona, Carosi, Carreto Fidalgo, Colin, Colombo, Contreras, Cortina, Covino, Da Vela, Dazzi, De Angelis, De Caneva, De Lotto, Delgado Mendez, Doert, Dom&iacute;nguez, Dominis Prester, Dorner, Doro, Einecke, Eisenacher, Elsaesser, Farina, Ferenc, Fonseca, Font, Frantzen, Fruck, Garc&iacute;a L&oacute;pez, Garczarczyk, Garrido Terrats, Gaug, Giavitto, Godinovi&cacute;, Gonz&aacute;lez Mu&ntilde;oz, Gozzini, Hadamek, Hadasch, Herrero, Hildebrand, Hose, Hrupec, Idec, Kadenius, Kellermann, Knoetig, Krause, Kushida, La Barbera, Lelas, Lewandowska, Lindfors, Longo, Lombardi, L&oacute;pez, L&oacute;pez-Coto, L&oacute;pez-Oramas, Lorenz, Lozano, Makariev, Mallot, Maneva, Mankuzhiyil, Mannheim, Maraschi, Marcote, Mariotti, Mart&iacute;nez, Mazin, Menzel, Meucci, Miranda, Mirzoyan, Moralejo, Munar-Adrover, Nakajima, Niedzwiecki, Nilsson, Nowak, Orito, Overkemping, Paiano, Palatiello, Paneque, Paoletti, Paredes, Paredes-Fortuny, Partini, Persic, Prada, Prada Moroni, Prandini, Preziuso, Puljak, Reinthal, Rhode, Rib&oacute;, Rico, RodriguezGarcia, R&uuml;gamer, Saggion, Saito, Salvati, Satalecka, Scalzotto, Scapin, Schultz, Schweizer, Shore, Sillanp&auml;&auml;, Sitarek, Snidaric, Sobczynska, Spanier, Stamatescu, Stamerra, Steinbring, Storz, Sun, Suri&cacute;, Takalo, Tavecchio, Temnikov, Terzi&cacute;, Tescaro, Teshima, Thaele, Tibolla, Torres, Toyama, Treves, Uellenbeck, Vogler, Wagner, Zandanel, Zanin, MAGIC Collaboration, Archambault, Behera, Beilicke, Benbow, Bird, Buckley, Bugaev, Cerruti, Chen, Ciupik, Collins-Hughes, Cui, Dumm, Eisch, Falcone, Federici, Feng, Finley, Fleischhack, Fortin, Fortson, Furniss, Griffin, Griffiths, Grube, Gyuk, Hanna, Holder, Hughes, Humensky, Johnson, Kaaret, Kertzman, Khassen, Kieda, Krawczynski, Krennrich, Kumar, Lang, Maier, McArthur, Meagher, Moriarty, Mukherjee, Ong, Otte, Park, Pichel, Pohl, Popkow, Prokoph, Quinn, Ragan, Rajotte, Reynolds, Richards, Roache, Rovero, Sembroski, Shahinyan, Staszak, Telezhinsky, Theiling, Tucci, Tyler, Varlotta, Wakely, Weekes, Weinstein, Welsing, Wilhelm, Williams, Zitzer, VERITAS Collaboration, Villata, Raiteri, Aller, Aller, Chen, Jordan, Koptelova, Kurtanidze, L&auml;hteenm&auml;ki, McBreen, Larionov, Lin, Nikolashvili, Angelakis, Capalbi, Carrami&ntilde;ana, Carrasco, Cassaro, Cesarini, Fuhrmann, Giroletti, Hovatta, Krichbaum, Krimm, Max-Moerbeck, Moody, Maccaferri, Mori, Nestoras, Orlati, Pace, Pearson, Perri, Readhead, Richards, Sadun, Sakamoto, Tammi, Tornikoski, Yatsu, and Zook	 The 2009 multiwavelength campaign on Mrk 421: Variability and correlation studies	 2015	 Astronomy and Astrophysics	 ARTICLE	 10 

10.1016/j.jheap.2015.01.002	 Aleksi&cacute;, Ansoldi, Antonelli, Antoranz, Babic, Bangale, Barrio, Becerra Gonz&aacute;lez, Bednarek, Bernardini, Biasuzzi, Biland, Blanch, Bonnefoy, Bonnoli, Borracci, Bretz, Carmona, Carosi, Colin, Colombo, Contreras, Cortina, Covino, Da Vela, Dazzi, De Angelis, De Caneva, De Lotto, de O&ntilde;a Wilhelmi, Delgado Mendez, Doert, Dominis Prester, Dorner, Doro, Einecke, Eisenacher, Elsaesser, Fonseca, Font, Frantzen, Fruck, Galindo, Garc&iacute;a L&oacute;pez, Garczarczyk, Garrido Terrats, Gaug, Godinovi&cacute;, Gonz&aacute;lez Mu&ntilde;oz, Gozzini, Hadasch, Hanabata, Hayashida, Herrera, Hildebrand, Hose, Hrupec, Idec, Kadenius, Kellermann, Kodani, Konno, Krause, Kubo, Kushida, La Barbera, Lelas, Lewandowska, Lindfors, Lombardi, L&oacute;pez, L&oacute;pez-Coto, L&oacute;pez-Oramas, Lorenz, Lozano, Makariev, Mallot, Maneva, Mankuzhiyil, Mannheim, Maraschi, Marcote, Mariotti, Mart&iacute;nez, Mazin, Menzel, Miranda, Mirzoyan, Moralejo, Munar-Adrover, Nakajima, Niedzwiecki, Nilsson, Nishijima, Noda, Nowak, Orito, Overkemping, Paiano, Palatiello, Paneque, Paoletti, Paredes, Paredes-Fortuny, Persic, Prada Moroni, Prandini, Preziuso, Puljak, Reinthal, Rhode, Rib&oacute;, Rico, Rodriguez Garcia, R&uuml;gamer, Saggion, Saito, Saito, Satalecka, Scalzotto, Scapin, Schultz, Schweizer, Shore, Sillanp&auml;&auml;, Sitarek, Snidaric, Sobczynska, Spanier, Stamatescu, Stamerra, Steinbring, Storz, Strzys, Takalo, Takami, Tavecchio, Temnikov, Terzi&cacute;, Tescaro, Teshima, Thaele, Tibolla, Torres, Toyama, Treves, Uellenbeck, Vogler, Wagner, Zanin, Horns, Mart&iacute;n, and Meyer	 Measurement of the Crab Nebula spectrum over three decades in energy with the MAGIC telescopes	 2015	 Journal of High Energy Astrophysics	 ARTICLE	 11 

0	 Aleksic, Ansoldi, Antonelli, Antoranz, Babic, Bangale, Barres de Almeida, Barrio, Becerra Gonzalez, Bednarek, Berger, Bernardini, Biland, Blanch, Bock, Bonnefoy, Bonnoli, Borracci, Bretz, Carmona, Carosi, Carreto Fidalgo, Colin, Colombo, Contreras, Cortina, ovino, da Vela, Dazzi, de Angelis, de Caneva, de Lotto, Delgado Mendez, Doert, Dominguez, Dominis Prester, Dorner, Doro, Einecke, Eisenacher, Elsaesser, Farina, Ferenc, Fonseca, Font, Frantzen, Fruck, Garcia Lopez, Garczarczyk, Garrido Terrats, Gaug, Giavitto, Godinovi, Gonzalez Munoz, Gozzini, Hadamek, Hadasch, Herrero, Hildebrand, Hose, Hrupec, Idec, Kadenius, Kellermann, Knoetig, Krause, Kushida, La Barbera, Lelas, Lewandowska, Lindfors, Longo, Lombardi, Lopez, Lopez-Coto, Lopez-Oramas, Lorenz, Lozano, Makariev, Mallot, Maneva, Mankuzhiyil, Mannheim, Maraschi, Marcote, Mariotti, Martinez, Mazin, Menzel, Meucci, Miranda, Mirzoyan, Moralejo, Munar-Adrover, Nakajima, Niedzwiecki, Nilsson, Nowak, Orito, Overkemping, Paiano, Palatiello, Paneque, Paoletti, Paredes, Paredes-Fortuny, Partini, Persic, Prada, Prada Moroni, Prandini, Preziuso, Puljak, Reinthal, Rhode, Ribo, Rico, Rodriguez Garcia, Rugamer, Saggion, Saito, Salvati, Satalecka, Scalzotto, Scapin, Schultz, Schweizer, Shore, Sillanpaa, Sitarek, Snidaric, Sobczynska, Spanier, Stamatescu, Stamerra, Steinbring, Storz, Sun, Suri, Takalo, Tavecchio, Temnikov, Terzi, Tescaro, Teshima, Thaele, Tibolla, Torres, Toyama, Treves, Uellenbeck, Vogler, Wagner, Zandanel, and Zanin	 VizieR Online Data Catalog: The 2009 multiwavelength campaign on Mrk421 (Aleksic+, 2015)	 2015	 VizieR Online Data Catalog	 ARTICLE	 0 

10.1093/mnras/stu2376	 Erwin, Saglia, Fabricius, Thomas, Nowak, Rusli, Bender, Vega Beltr&aacute;n, and Beckman	 Composite bulges: the coexistence of classical bulges and discy pseudo-bulges in S0 and spiral galaxies	 2015	 Monthly Notices of the Royal Astronomical Society	 ARTICLE	 26 

10.1017/S1743921314010503	 Erwin, Saglia, Thomas, Fabricius, Bender, Rusli, Nowak, Beckman, and Vega Beltr&aacute;n	 Using 3D Spectroscopy to Probe the Orbital Structure of Composite Bulges	 2015	 Galaxies in 3D across the Universe	 INPROCEEDINGS	 2 

